21:02:14:03:00:59[INFO ] chunk_repair.pl-90    : ##ENTERING LOAD RULE FUNC
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~2
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$a%NST<root="vaxxa",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$a%NST<root="vaxxa",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$a,Pos-NST,Fs-<root="vaxxa",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-NP~1
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 NP 3 1 4  5 (( 6 {%NN<case="o">}+{$a%NST<root="vaxxa",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">}))
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-NN,Fs-<case="o">
21:02:14:03:00:59[INFO ] load.pl-335   : Add child
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-$a,Pos-NST,Fs-<root="vaxxa",lcat="$c",gend="$g",num="$n",pers="$p",cm="0">
21:02:14:03:00:59[INFO ] load.pl-389   : ###Number of Rules: 3,
21:02:14:03:00:59[INFO ] load.pl-447   : Dropping:NP~2
21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R4: VGNF(({$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">})) VGF(({%VM<root="gala",tam="a">}{%SYM})) => VGF((+{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">}{%VAUX<root="gala",tam="a">}{%SYM}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::VGNF(({$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">})) VGF(({%VM<root="gala",tam="a">}{%SYM})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:VGNF(({$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">})) VGF(({%VM<root="gala",tam="a">}{%SYM}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--VGNF~
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$b,Pos-VM,Fs-<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--VGF~
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{%VM<root="gala",tam="a">}{%SYM})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%VM<root="gala",tam="a">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-VM,Fs-<root="gala",tam="a">
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%SYM
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-SYM,Fs-
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-VGF~
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 VGF 3  4  5 (( 6 +{$b%VM<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">}{%VAUX<root="gala",tam="a">}{%SYM}))
21:02:14:03:00:59[INFO ] load.pl-335   : Add child
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-$b,Pos-VM,Fs-<root="$c",lcat="v",gend="$w",num="$h",$pers="$t",tam="an",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-VAUX,Fs-<root="gala",tam="a">
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-SYM,Fs-
21:02:14:03:00:59[INFO ] load.pl-389   : ###Number of Rules: 4,
21:02:14:03:00:59[INFO ] load.pl-447   : Dropping:VGNF~
21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R5: NP~1(({%QC})) NP~2(({va%NN<root="va">})) => NP~1(({%QC<cm="va">}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::NP~1(({%QC})) NP~2(({va%NN<root="va">})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:NP~1(({%QC})) NP~2(({va%NN<root="va">}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~1
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{%QC})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%QC
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-QC,Fs-
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~2
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{va%NN<root="va">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{va%NN<root="va">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-va,Pos-NN,Fs-<root="va">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-NP~1
21:02:14:03:00:59[INFO ] load.pl-307   : Value--1  2 NP 3 1 4  5 (( 6 {%QC<cm="va">}))
21:02:14:03:00:59[INFO ] load.pl-345   : Word Var-,Word-,Pos-QC,Fs-<cm="va">
21:02:14:03:00:59[INFO ] load.pl-389   : ###Number of Rules: 5,
21:02:14:03:00:59[INFO ] load.pl-447   : Dropping:NP~2
21:02:14:03:00:59[INFO ] load.pl-497   : RULE:,R6: NP~1(({%NN<cm="$a._A">})) NP~2(({$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">})) => NP~1(({%NN<cm="$a._A">}+{$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">}))
,
21:02:14:03:00:59[INFO ] load.pl-204   : LHS::NP~1(({%NN<cm="$a._A">})) NP~2(({$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">})) ::
21:02:14:03:00:59[INFO ] load.pl-206   : Number of Chunks:NP~1(({%NN<cm="$a._A">})) NP~2(({$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">}))
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~1
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{%NN<cm="$a._A">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{%NN<cm="$a._A">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-,Pos-NN,Fs-<cm="$a._A">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-229   : LHS:Chunk_tag--NP~2
21:02:14:03:00:59[INFO ] load.pl-230   : Value--{$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">})) and ~
21:02:14:03:00:59[INFO ] load.pl-243   : word-{$b%NN<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-256   : Word Var-,Word-$b,Pos-NN,Fs-<root="$c",lcat="n",gend="$g",num="pl",pers="$p",case="$f",cm="$t",suff="$s">
21:02:14:03:00:59[INFO ] load.pl-243   : word-))
21:02:14:03:00:59[INFO ] load.pl-273   : Headvalue:0 start 0 end 0
21:02:14:03:00:59[INFO ] load.pl-283   : Parsing RHS
21:02:14:03:00:59[INFO ] load.pl-303   : RHS:Chunk_tag-NP~1
